umn_plantID,common_name,scientific_name,height,spread,form,seasonal_interest,seasonal_interest_specific,flower_color,landscape_use,light,zone,soil,notes
2358,African daisy,Osteospermum,14 in,15 in,Mound,Early summer;     Mid-summer;     Late summer,Daisy flowers all season - high light - cool moderate temperatures,Yellow;  Orange;  Peach;  Cream,Border;     Container,Full sun;     Part sun,Annual,Tolerates dry,Symphony series. Soprano series.
1713,African Daisy,Dimorphotheca sinuata,18 in,12 in,Upright,Early summer;     Mid-summer;     Late summer,Daisy-shaped flowers in shades of white;  salmon and pink stand out above the foliage,White; Pink,Border;     Container,Full sun,Annual,Tolerates dry,Good in hot
2359,African daisy hybrids,Osteospermum hybrida,14 in,15 in,Mound,Early summer;     Mid-summer;     Late summer,Daisy flowers all season - high light - cool moderate temperatures,Purple; Lilac,Border;     Container,Full sun;     Part sun,Annual, ,Series: Sopranoï
2706,African Marigolds,Tagetes erecta,24 in,12 in,Upright,Mid-summer;     Late summer;     Early fall; ,Taller plants with larger flowers than French Marigolds,Yellow;  Orange;  Cream,Border;     Container,Full sun,Annual,Tolerates dry,Pinch back young transplants for more blooms later. Series: Marvel
462,Afterglow Winterberry,Ilex verticillata,6 ft,5 ft,Rounded, ,Summer dark green foliage; fall bright red/orange fruits persist into winter. Blooms early., ,Attract wildlife; Border; Foundation planting; Natural planting; Screen; Woodland garden,Full sun; Part sun,"4, 5, 6, 7, 8, 9",Prefers acidic; Prefers evenly-moist,A female selection. Needs a male winterberry for pollination ('Jim Dandy' or 'Early Male)'. Blooms on old wood.
900,Aglo Rhododendron,Rhododendron,4 ft,4 ft,Compact,Spring;      Winter,Light pink flowers in spring; summer foliage is dark green turning reddish brown in fall / winter.,Pink,Border;      Foundation planting,Part sun,"4, 5, 6, 7",Prefers acidic,Compact grower; earlier flowering than other cultivars.
1178,Agnes Smith Lilac,Syringa xprestoniae,8 ft,8 ft,Upright, ,Single white fragrant spring flowers,White,Border; Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7", ,A Preston Hybrid developed by Dr. Rogers at the University of New Hampshire. One of the latest white lilacs to bloom in spring. Good for pollinators.
206,Alabast Clematis,Clematis,8 ft,3 ft,Climbing; Twining, , ,White,Focal point; Fragrance; Screen,Full sun; Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers evenly-moist; Prefers high organic matter; Prefers well-drained; Tolerates alkaline,"Flowers are 6-7"" creamy green with yellow anthers  free flowering. (CPBR #1990)"
2199,Alaska Daisy,Leucanthemum x superbum,24 in,18 in,Upright,Early summer; Mid-summer; Late summer,White flowers with yellow center,White,Border; Cutting; Prairie planting,Full sun,"4, 5, 6, 7, 8",Prefers well-drained, 
1602,Alaska Shasta Daisy,Chrysanthemum x superbum,24 in,24 in,Upright,Mid-summer,Flowers white with yellow center,White;  Yellow,Border;      Cutting,Full sun,"4, 5, 6, 7",Adaptable, 
1141,Albert F Holden Lilac,Syringa vulgaris,7 ft,8 ft,Upright, ,Single deep violet fragrant spring flowers with silvery blush on the reverse of the petals providing a bicolor effect., ,Border; Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained; Tolerates alkaline,A Father Fiala introduction with large  loosely open flower panicles and nice fragrance. Good for pollinators.
2118,Albomarginata Hosta,Hosta undulata,15 in,24 in,Mound,Early summer;      Late summer;      Mid-summer,Foliage slightly wavy green with irregular white margins;  summer lavender flowers,Lavender,Boulevard planting,Full shade;      Part shade,"3, 4, 5, 6, 7, 8",Prefers evenly-moist;      Prefers loam,Foliage features deep green leaves and white margins. Flowers bloom mid-summer.
2038,Albo-marginata Hosta,Hosta,18 in,24 in,Mound,Mid-summer,Medium green leaves with irregular white margins, ,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8", , 
766,Albyn Prostrata Scotch Pine,Pinus sylvestris,2 ft,6 ft,Prostrate,Fall;      Spring;      Summer;      Winter;      Year-round,Evergreen foliage all year, ,Foundation planting,Full sun,"3, 4, 5, 6, 7", , 
394,Aldenham European Euonymus,Euonymus europaeus,12 ft,10 ft,Upright,Fall,Fall yellow-red foliage;  pink fruit., ,Border,Full sun;      Part sun,"4, 5, 6, 7",Prefers well-drained, 
819,Alderman Plum,Prunus,10 ft,8 ft,Rounded; Upright,Spring; Summer; Fall,An abundance of fragrant white flowers emerge early in spring. Late summer fruit is deep burgundy-red fruit.,White,Attract wildlife; Edible landscape; Fruit; Pollinator garden,Full sun,"4, 5, 6, 7, 8", ,Introduced in 1986 by the University of Minnesota and named after Professor W. H. Alderman.  'Superior' 'Toka' or 'Compass' make good pollinators. Good for pollinators.
1457,Alert Aster,Symphyotrichum novi-belgii,12 in,18 in,Mound,Late summer; Early fall,Ruby-red flowers.,Red,Border; Boulevard planting,Full sun,"4, 5, 6, 7, 8",Prefers loam,Pinch back in early summer to keep compact.  Divide frequently to keep plants healthy.
953,Alex MacKenzie Rose,Rosa,5 ft,5 ft,Upright,Summer,Deep red  cup shaped clustered flowers throughout summer; newly emerged leaves are tinted red.,Red,Border;      Foundation planting;      Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,The fruit of the Prickly Wild Rose has a high vitamin C content and makes excellent jelly. Also  rose hips are gathered for the preparation of rose hip tea. Good for pollinators.
2065,Alex Summers Hosta,Hosta,20 in,24 in,Mound,Early summer;      Late summer;      Mid-summer,Dark green leaves and lavender flowers,Lavender,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8, 9", , 
2257,Alexander Variegated Yellow Loosestrife,Lysimachia punctata,24 in,18 in,Upright;     Rounded,Early summer;      Late summer;      Mid-summer,Variegated green/white foliage emerges with pink tinge; golden flowers,Gold;  Yellow,Border,Full sun,"4, 5, 6, 7, 8",Prefers evenly-moist,A sport of L. Alexander with stable variegated foliage of green and gold. Blooms mid-summer.
2131,Alexander's White Candytuft,Iberis sempervirens,10 in,18 in,Spreading,Spring;      Summer,Low growing groundover with white spring flowers,White,Border;      Rock garden,Full sun,"3, 4, 5, 6, 7, 8, 9", , 
1283,Alfredo Compact American Cranberrybush Viburnum,Viburnum trilobum,6 ft,7 ft,Rounded, ,June white flowers. Summer reddish foliage. Fall red fruits which can persist into winter,White,Attract wildlife; Border; Foundation planting,Full sun; Part sun,"2, 3, 4, 5, 6, 7",Prefers evenly-moist; Tolerates alkaline,Selected at Bailey Nurseries by Alfredo Garcia. Fruits can be used to make jelly
252,Alionushka Clematis,Clematis,5 ft,3 ft,Climbing;     Twining,Summer;     Fall, , ,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,"A non-clinging Clematis with 2-3""  semi-nodding rich mauve-pink flowers."
2039,Allan P. McConnell Hosta,Hosta,8 in,18 in,Mound,Mid-summer,Green leaves with a thin white margin,Lavender,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist, 
1025,Alleghany blackberry,Rubus allegheniensis,6 ft,6 ft,Upright;     Spreading,Late spring;  Early summer;  Mid-summer;  Late summer;  Early fall,The fruit (drupes) are initially white or green eventually turn red and finally almost black.,White,Attract wildlife;  Edible landscape;  Fruit;  Natural planting;  Pollinator garden,Full sun;      Part sun,"3, 4, 5, 6, 7",Prefers high organic matter;  Prefers well-drained,Fruit is seedy and sweet when fully ripened. The root system consists of a taproot. This plant often forms loose colonies vegetatively. Good for pollinators.
93,Allegheny Serviceberry,Amelanchier laevis,25 ft,15 ft,Oval; Upright, ,Clusters of large white flowers emerge in early spring. Edible fruits turn purple in late summer. Green summer foliage is orange in fall.,White,Attract wildlife; Boulevard planting; Native; Natural planting; Pollinator garden; Xeriscaping,Full sun; Part sun,"4, 5, 6, 7, 8", ,Small
341,Alleman's Compact Dogwood,Cornus sericea,5 ft,5 ft,Rounded, ,White spring flowers;  green summer foliage;  red-purple foliage and red fall berries;  dark red stems all season.,White,Attract wildlife; Erosion control; Natural planting; Pollinator garden,Full sun; Part sun,"3, 4, 5, 6, 7, 8", ,Selected by Roy Alleman  Spring Meadow Nursery. Good for pollinators. Blooms on old wood.
1638,Allyson Heather Mexican Heather,Cuphea rosea,12 in,10 in,Upright,Early summer;      Mid-summer;      Late summer,Small cigar shaped blooms,Pink-Purple,Container,Full sun,Annual, , 
1820,Alpenglow Cranesbill,Geranium sanguineum,18 in,15 in,Mound,Early summer,Deeply lobed dark green foliage and lavender-pink flowers.,Lavender;  Pink,Border;      Pollinator garden;      Rock garden,Full sun;      Part sun,"4, 5, 6, 7, 8", , 
1443,Alpine Aster,Aster alpinus,12 in,12 in,Mound,Early summer; Mid-summer; Late summer, ,Blue; Pink; White,Border; Boulevard planting; Butterfly garden; Natural planting; Pollinator garden,Full sun,"4, 5, 6, 7, 8", , 
1693,Alpine Carnation,Dianthus x allwoodii,6 in,18 in,Clump,Early summer;      Late summer;      Mid-summer, ,Pink,Border;      Rock garden,Full sun,"4, 5, 6, 7",Adaptable, 
919,Alpine Currant,Ribes alpinum,6 ft,6 ft,Rounded,Fall;      Spring,Spring green-yellow flowers;  bright green foliage; fall yellow foliage, ,Foundation planting;      Hedge,Full sun,"2, 3, 4, 5, 6, 7",Adaptable,Shears well as a hedge.
2309,Alpine Forget-Me-Not,Myosotis alpestris,6 in,6 in,Mound,Late spring;      Mid-spring,"Tiny (1/4"") brilliant blue flowers",Blue,Border;      Rock garden,Full sun;      Part sun,"4, 5, 6, 7, 8",Adaptable,Plants live only a few years but self-sow readily
1362,Alpine Lady's Mantle,Alchemilla alpina,6 in,8 in,Mound,Early summer;      Late spring,Foliage captures dew and raindrops,Green;  Yellow,Border;      Rock garden,Full sun;      Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist;      Prefers well-drained,Tiny green-yellow flower sprays.  Divide in early spring or fall.
1774,Alpine Strawberry,Fragaria vesca,6 in,12 in,Mound,Mid-spring; Early summer; Mid-summer; Late summer; Early fall; Mid-fall,Low-growing bright green mounded plants. Continual bloom. White flowers with yellow centers develop into bright red;  sweet small strawberries from mid-spring through freeze.,White,Attract wildlife; Border; Edible landscape; Fruit; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7",Prefers evenly-moist; Prefers high organic matter; Prefers loam; Prefers well-drained, 
1743,Alpine Willowherb,Epilobium fleischeri,18 in,12 in,Upright,Early fall;      Early summer;      Late spring;      Late summer;      Mid-summer,Flowers born on reddish stems against gray-green foliage - attractive seed heads in fall,Pink,Border;      Rock garden,Full sun;      Part sun,"3, 4, 5, 6, 7, 8", ,Deadhead to promote longer bloom
2852,Alsike clover,Trifolium hybridum,  in,  in, , ,Late fall; Late summer; Mid-summer, ,Pollinator garden,Full sun;    Part sun, , , 
2501,Amazing Red New Zealand Flax,Phormium tenax,2 in,2 in,Mound,Early fall,Grown for burgundy bronze green glossy textured foliage, , ,Full sun;      Part sun,Annual,Tolerates dry,Xeriscaping
2066,Amber Tiara Hosta,Hosta,12 in,20 in,Mound,Early summer;      Late summer;      Mid-summer,Gold leaves with bright spring color; dark purple and white striped flowers,Lavender;  White,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8, 9", , 
1979,Amber Waves Coral Bells,Heuchera,12 in,12 in,Clump;      Mound,Early summer;      Late summer;      Mid-summer,Ruffled;  amber-gold foliage and light rose colored flowers,Pink;  Rose,Border,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9", , 
175,American Bittersweet,Celastrus scandens,20 ft,15 ft,Climbing; Twining, ,Orange fruit caps in fall open to expose scarlet berries.,Red,Attract wildlife; Native; Natural planting,Full sun,"2, 3, 4, 5, 6, 7, 8",Adaptable; Prefers evenly-moist,Adaptable aggressive vine needing both male and female plants to produce fruit. Used for decorations. Best fruiting in Full sun. Keep away from trees and shrubs as the vines can strangle and kill young trees.
1111,American bladdernut,Staphylea trifolia,15 ft,12 ft,Upright,Spring,Drooping clusters of cream bell shaped flowers yellow fall color,White,Attract wildlife; Border; Native; Natural planting; Pollinator garden; Screen; Woodland garden, ,"4, 5, 6, 7", , 
1277,American Cranberrybush Viburnum,Viburnum trilobum,10 ft,10 ft,Rounded, ,May white flowers. Fall red edible fruits which persist into winter. Lobe-shaped leaves.,White,Attract wildlife; Backdrop; Border; Foundation planting; Native; Natural planting; Pollinator garden; Screen,Full sun; Part sun,"2, 3, 4, 5, 6, 7",Prefers evenly-moist; Tolerates alkaline, 
1628,American Dream Coreopsis,Coreopsis rosea,24 in,18 in,Upright,Early summer;      Late summer;      Mid-summer,Rosey pink daisy-like flower with a yellow center,Pink,Border;      Pollinator garden,Full sun,"3, 4, 5, 6, 7, 8, 9", ,Threadleaf foliage similar to C. rosea but with large
1051,American Elder,Sambucus canadensis var. canadensis,10 ft,9 ft,Irregular; Open; Upright, ,Summer white flowers; fall blue fruits; fall yellow foliage,White,Attract wildlife; Border; Native; Natural planting; Pollinator garden,Full sun; Part sun,"3, 4, 5, 6, 7, 8, 9",Adaptable; Prefers evenly-moist,Good for pollinators. Other names: common elder
533,American Fly Honeysuckle,Lonicera canadensis,6 ft,6 ft,Open,Spring; Fall,Fragrant paired drooping flowers followed by red-orange berries.,Yellow,Attract hummingbirds; Attract wildlife; Butterfly garden; Fragrance; Hedge; Native; Natural planting; Pollinator garden; Screen,Full sun; Part sun,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11", ,Attracts hummingbirds and butterflies. Soil should be mulched over in the winter.
1397,American Groundnut,Apios americana,12 in,6 in,Twining,Late spring; Early summer; Mid-summer,Edible beans and tubers.,Purple; Red,Edible landscape; Native; Natural planting; Vegetable,Full sun; Part sun, ,Prefers high organic matter, 
349,American Hazelnut,Corylus americana,8 ft,8 ft,Rounded, ,Edible nuts in fall., ,Border; Boulevard planting; Native; Natural planting; Pollinator garden,Full sun; Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers evenly-moist,Rounded edible nuts in clusters of 2-4. Good for pollinators.
521,American Larch,Larix laricina,60 ft,30 ft,Pyramidal, ,Soft bright green summer needles turn yellow and drop in fall. Dense horizontal to drooping branches give plant a soft look during winter months. Dried fruit persists on plant through winter., ,Backdrop; Native; Natural planting; Screen,Full sun; Part sun,"2, 3, 4, 5",Prefers acidic; Prefers evenly-moist; Prefers well-drained; Tolerates wet,Best performance is in temperature conditions that mirror its native habitat
1211,American Linden,Tilia americana,90 ft,50 ft,Pyramidal, ,Fragrant yellow flowers emerge in early summer. Large dense foliage providing excellent shade.,Yellow,Pollinator garden; Shade tree; Street tree,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers evenly-moist; Tolerates dry; Tolerates sandy soil,Good for pollinators.
1216,American MckSentry Linden,Tilia americana,60 ft,40 ft,Pyramidal, ,Fragrant yellow flowers emerge in early summer. Green summer foliage turns yellow in fall. Silvery grey bark give this tree winter interest.,Yellow,Pollinator garden; Shade tree; Street tree,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers evenly-moist; Tolerates dry; Tolerates sandy soil,McKay Nursery introduction. Uniform
1064,American Mountain Ash,Sorbus americana,40 ft,30 ft,Rounded, ,Showy flower clusters followed by clusters of red fruit;  dull red to rich yellow fall color,White,Attract wildlife; Backdrop; Native; Natural planting; Pollinator garden; Screen; Shade tree,Full sun,"2, 3, 4, 5, 6",Prefers evenly-moist; Prefers well-drained, 
173,American New Jersey Tea,Ceanothus americanus var. pitcheri,3 ft,2 ft,Upright, ,Small plumes of fluffy white flowers.,White,Attract wildlife; Foundation planting; Native; Natural planting; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7, 8", ,Butterfly garden plant. Good for pollinators.
820,American Plum,Prunus americana,20 ft,15 ft,Upright, ,Fragrant;  delicate;  white flowers emerge before foliage in spring. Edible red-yellow fruits form in fall. Green summer foliage turns yellow in fall.,White,Attract wildlife; Backdrop; Butterfly garden; Edible landscape; Focal point; Fragrance; Fruit; Native; Natural planting; Pollinator garden; Screen; Woodland garden,Full sun,"2, 3, 4, 5",Prefers well-drained; Tolerates dry,Small hardy tree. Suitable pollinator for other fruiting plums. Suckering habit. Good for pollinators. Fruit makes delicious jam.
1215,American Sentry Linden,Tilia americana,40 ft,30 ft,Upright,Summer; Fall,Fragrant yellow flowers emerge in early summer. Green summer foliage turns yellow in fall. Silvery gray bark gives this tree winter interest.,Yellow,Pollinator garden; Shade tree,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers evenly-moist; Tolerates dry; Tolerates sandy soil,Upright pyramidal form good for boulevards and smaller yards. Uniform branching habit. Good for pollinators.
358,American Smoketree,Cotinus obovatus,25 ft,25 ft,Rounded,Fall,Fall yellow;  red;  orange;  purple foliage., ,Boulevard planting,Full sun,"4, 5, 6, 7",Adaptable;      Prefers alkaline,Blooms on new wood.
2313,American Yellow Lotus,Nelumbo lutea,72 in,48 in,Clump,Late summer; Early fall,Water depth 4 to 12 inches deep. Flowers 12 inches wide,Yellow,Focal point; Native; Natural planting; Pollinator garden; Water garden,Full sun,"4, 5, 6, 7, 8, 9",Prefers high organic matter; Prefers wet,Suitable for medium to large ponds.
449,Ames St. John's Wort,Hypericum kalmianum,3 ft,3 ft,Rounded, ,Golden-yellow 1-inch flowers emerge mid-summer.,Yellow,Attract wildlife; Border; Butterfly garden; Foundation planting; Natural planting; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7", ,Selected at Iowa State University. Perfectly round form; very hardy. Blooms on new wood. Other names: Ames Hypericum
1980,Amethyst Myst Coral Bells,Heuchera,26 in,12 in,Clump;      Mound,Early summer;      Late summer;      Mid-summer,Silvery purple foliage and rose/pink flowers,Pink;  Rose,Border,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9", , 
1120,Amethyst Snowberry,Symphoricarpos xdoorenbosii,5 ft,4 ft,Rounded, ,Hot pink fruit,Pink,Natural planting; Pollinator garden; Screen,Full sun; Part sun,"3, 4, 5, 6, 7", ,Woodland gardens. Good for pollinators.
830,Amur Chokecherry,Prunus maackii,30 ft,30 ft,Rounded; Upright, ,Clusters of small white flowers emerge in spring. Black fruit forms in fall. Brown/cinnamon exfoliating bark with glistening metallic appearance gives plant winter interest.,White,Attract wildlife; Pollinator garden,Full sun,"2, 3, 4, 5, 6",Prefers well-drained,Single trunk or clump form available (clumps will have two or more stems). Not a long-lived tree. Good for pollinators.
658,Amur Corktree,Phellodendron amurense,60 ft,40 ft,Rounded,Fall;      Winter,Fall black fruits;  yellow foliage; winter fruits persist;  interesting;  furrowed bark., ,Boulevard planting;      Shade tree,Full sun,"4, 5",Tolerates alkaline;      Tolerates dry,Dioecious; fruit on female only
548,Amur Maackia,Maackia amurensis,20 ft,20 ft,Rounded,Winter,Late summer flowers;  shiny amber brown peeling bark., ,Boulevard planting,Full sun; Part sun,"3, 4, 5, 6, 7", , 
480,Andorra Compact Juniper,Juniperus horizontalis,1.5 ft,5 ft,Compact; Mound,Spring; Summer; Fall; Winter; Year-round,New growth emerges pale green in early summer; foliage turns blue-green through summer;  bronze in fall;  and deep purple in winter., ,Foundation planting; Ground cover,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers well-drained; Tolerates alkaline; Tolerates pollution; Tolerates salt,Low growing evergreen. A compact form of Andorra Youngstown Juniper. Dense branching habit.
485,Andorra Youngstown Juniper,Juniperus horizontalis,2 ft,5 ft,Prostrate,Spring; Summer; Fall; Winter; Year-round,Foliage is gray-green in summer and turns deep purple in fall., ,Foundation planting,Full sun,"3, 4, 5, 6, 7",Adaptable; Prefers evenly-moist; Prefers well-drained; Tolerates alkaline; Tolerates dry; Tolerates pollution,Does not tolerate heavy soil; otherwise highly adaptable.
1390,Angelica,Angelica archangelic,72 in,48 in,Upright;     Narrow;     Open,Early summer;      Mid-summer,"Greenish white flowers in clumps up to 6"" in diameter",White;  Green,Border;      Cutting,Full sun,"4, 5, 6, 7, 8", ,Stems/seeds/leaves and roots are edible and taste like black licorice.
2653,Angelina Sedum,Sedum repestre,6 in,18 in,Mound;     Spreading,Late summer,Bright golden yellow needle-like leaves; yellow summer flowers,Yellow,Border;      Boulevard planting;      Pollinator garden;      Rock garden,Full sun,"3, 4, 5, 6, 7, 8, 9", ,Good for pollinators.
1314,Angelique Yarrow,Achillea millefolium,24 in,18 in,Clump; Upright,Early summer; Mid-summer; Late summer,Green finely divided foliage with red flowers in July and August,Red,Border; Boulevard planting; Butterfly garden; Cutting; Drying; Foundation planting; Natural planting; Pollinator garden; Prairie planting,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers well-drained; Tolerates alkaline; Tolerates dry,Good for pollinators. Nectar source for adult monarchs.
1391,Angelonia,Angelonia angustifolia,8 in,9 in,Mound,Early summer;     Mid-summer;     Late summer,Orchid like flowers in pink;  purple and white,Pink;  Purple;  White,Border;     Cutting;     Container,Full sun;     Part sun,Annual, ,Cut flowers last up to 21 days. Varieties: AngelMist?. Cultivars: 'Balangdaros'   'Balangdarpi'   'Balangpikim'
1648,Angel's Trumpet,Datura metel,48 in,16 in,Upright,Early summer;     Mid-summer;     Late summer,Large trumpet-like flowers,White;  Yellow;  Red;  Pink;  Purple,Border;     Container,Full sun,Annual, ,Good annual hedge or patio specimen plant
2510,Anise,Pimpinella anisum,24 in,15 in,Upright,Mid-summer; Late summer,Simple leaves at base of the plant - higher on the stem the leaves are feathery pinnate.,White,Border; Butterfly garden; Container; Edible landscape; Fragrance; Herb garden; Pollinator garden,Full sun,Annual,Prefers well-drained,Collect licorice-flavored seeds when they change color.
555,Ann Magnolia,Magnolia x,10 ft,6 ft,Rounded;      Upright,Spring,Spring rose-pink flowers in late spring.,Pink, ,Full sun,"4, 5, 6, 7",Prefers evenly-moist,"One of the ""Little Girl Series"" from the National Arboretum. Selected for its late bloom (mid to late spring) avoiding the hazards of late frost. Blooms on old wood."
221,Anna Louise Clematis,Clematis,10 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,Purple,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Flowers are violet with a red-purple bar and red anthers
432,Annabelle Hydrangea,Hydrangea arborescens,5 ft,6 ft,Rounded, ,Large;  round;  white flowers bloom from mid-late summer. Dead flowers create good winter interest.,White,Border; Foundation planting; Hedge,Full sun; Part sun,"3, 4, 5, 6, 7, 8, 9",Tolerates alkaline,Good for shady areas and under tree canopies. Flowers may be small the first year; normal size by the second year. 2001 PA Gold Medal Award Winner. Blooms on new wood.
1833,Annual Baby's Breath,Gypsophila elegans,24 in,12 in,Mound,Early summer;     Mid-summer;     Late summer,Misty;  airy appearance when in flower,White;  Pink,Border;     Cutting,Full sun,Annual, , 
1645,Annual Dahlia,Dahlia hybrida,15 in,10 in,Upright,Early summer;     Mid-summer;     Late summer,2-3 inch daisy like blooms,White;  Yellow;  Red;  Purple,Border;     Container,Full sun;     Part sun,Annual,Prefers evenly-moist,Heavy feeder.  Remove spent flowers for continuous bloom.  Tubers can be dug and overwintered.
2459,Annual Phlox,Phlox drummondii,8 in,8 in,Mound,Early summer;     Late summer;     Mid-summer,Single blooms in shades of red;  rose;  white and purple;  often with a contrasting center color,Pink;  Purple;  Red;  White,Border;     Container;     Pollinator garden,Part sun,Annual,Prefers evenly-moist,Does well in hot  sunny locations. Good for pollinators.
2189,Annual Sweet Pea,Lathyrus odoratus,20 in,6 in,Mound; Upright,Late spring; Early summer; Mid-summer; Late summer,Pea-like flowers in a variety of colors including bicolors. Fragrant.,Mixed,Border; Fragrance,Full sun,Annual, ,Plant early in the season. Plant as soon as soil is able to be worked.
1105,Anthony Waterer Spirea,Spiraea xbumalda,3 ft,5 ft,Rounded; Upright, ,Rose-pink summer flowers; blue-green summer foliage. Reddish-purple fall foliage,Pink,Border; Foundation planting; Hedge; Pollinator garden; Screen,Full sun,"4, 5, 6, 7, 8",Adaptable,Noted for long season of bloom in cool climates. Good for pollinators.
2040,Antioch Hosta,Hosta,20 in,36 in,Mound,Mid-summer,Green leaves with irregular white margin,Lavender,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist, 
1939,Anzac Daylily,Hemerocallis,28 in,18 in,Upright;     Mound,Early summer;      Late summer;      Mid-summer,Re-blooming red blooms with light green-yellow throat,Red,Border;      Boulevard planting,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9", , 
1715,Aphrodite Shooting Star,Dodecatheon meadia,18 in,12 in,Upright;     Clump,Late spring;     Early summer;     Mid-summer,Purple;  Pink, ,Butterfly garden;     Pollinator garden;     Natural planting;     Prairie planting,Part shade,"4, ", , 
